JUDGE,PANEL_ID,DIELEC_FIRE_TEMP_KEEP_CH01,DIELEC_FIRE_TEMP_ANEAL_CH01,DIELEC_FIRE_TEMP_ANEAL_CH02,DIELEC_FIRE_TEMP_ANEAL_CH03,DIELEC_FIRE_EXHAUST_HEAT1,DIELEC_FIRE_EXHAUST_HEAT2,DIELEC_FIRE_EXHAUST_HEAT3,DIELEC_FIRE_EXHAUST_HEAT4,DIELEC_FIRE_EXHAUST_HEAT5,DIELEC_FIRE_EXHAUST_HEAT6,DIELEC_FIRE_EXHAUST_HEAT7
양품,PNL-08,572,573,553,534,2069,2168,3153,3407.5,3545,3132,3136
양품,PNL-09,571,571,551,533,2014,2373,3224,3393,3304,3154,3149
양품,PNL-10,572,576,559,539,2116,2220,2336,3262,3896,3052,2968
명점,PNL-11,568,574,552,533,2078,2173,3171,3404,3210,3145,3184
양품,PNL-12,569,571,551,534,1994,2193,3156,3419,3743,3149,3159
양품,PNL-13,576,572,555,534,2104,2185,2369,3280,3850,3037,2886
양품,PNL-14,570,571,551,535,1995,2179,3183,3399,3303,3338,3120
양품,PNL-15,573,575,557,537,2116,2184,2336,3324,3917,3132,3001
양품,PNL-16,573,573,558,537,2143,2133,2262,3234,3809,3006,2933
양품,PNL-17,573,576,558,537,2166,2370,2350,3338,3815,3136,2953
양품,PNL-18,572,573,553,534,2069,2168,3153,3407.5,3545,3132,3136
양품,PNL-19,572,573,553,534,2069,2168,3153,3407.5,3545,3132,3136
양품,PNL-20,570,572,549,533,2032,2185,3241,3549,3287,3199,3159
양품,PNL-01,569,570,552,533,2084,2157,3187,3514,3336,3222,3184
양품,PNL-02,573,573,558,537,2156,2128,2328,3243,3919,3086,2960
양품,PNL-03,573,574,558,536,2312,2155,2338,3241,3798,3047,2945
양품,PNL-04,572,573,553,534,2069,2168,3153,3407.5,3545,3132,3136
양품,PNL-05,573,575,559,535,2176,2116,2313,3313,3954,3088,2965
양품,PNL-06,569,571,551,535,2000,2198,3203,3528,3358,3191,3146
양품,PNL-07,575,574,550,531,1933,2110,3060,3145,3429,2932,3042
양품,PNL-08,573,571,551,533,1997,2160,3177,3527,3266,3198,3214
명점,PNL-09,573,577,558,536,2110,2119,2272,3264,3331,3029,2938
양품,PNL-10,572,573,553,534,2069,2168,3153,3407.5,3545,3132,3136
양품,PNL-11,574,576,559,537,2108,2334,2304,3291,3931,3062,3067
양품,PNL-12,578,576,554,530,2127,2159,2416,3240,3903,3067,2954
양품,PNL-13,569,569,553,534,1998,2199,3211,3408,3285,3130,3198
양품,PNL-14,572,571,552,532,2011,2205,3254,3504,3338,3183,3227
양품,PNL-15,572,574,559,537,2355,2126,2262,3265,3863,3072,2872
