JUDGE,PHOS_R_DRY_TEMP_GLASS_START,PHOS_R_DRY_TEMP_GLASS_END,PHOS_R_DRY_TEMP_WALL_START,PHOS_R_DRY_TEMP_WALL_MAX,PHOS_R_DRY_PRES_START,PHOS_R_DRY_PRES_END,PHOS_R_DRY_TEMP_GLASS_OUT,PHOS_R_DRY_TEMP_HOOD_START,PHOS_R_DRY_TEMP_HOOD_MAX,PHOS_G_DRY_TEMP_GLASS_START,PHOS_G_DRY_TEMP_GLASS_END,PHOS_G_DRY_TEMP_WALL_START,PHOS_G_DRY_TEMP_WALL_MAX,PHOS_G_DRY_PRES_START,PHOS_G_DRY_PRES_END,PHOS_G_DRY_TEMP_GLASS_OUT,PHOS_G_DRY_TEMP_HOOD_START,PHOS_G_DRY_TEMP_HOOD_MAX,PHOS_FIRE_TEMP_ANEAL_CH01,PHOS_FIRE_TEMP_ANEAL_CH02,PHOS_FIRE_TEMP_ANEAL_CH03,PHOS_FIRE_TEMP_ANEAL_CH04,PHOS_FIRE_EXHAUST_HEAT1,PHOS_FIRE_EXHAUST_HEAT2,PHOS_FIRE_EXHAUST_HEAT3,PHOS_FIRE_EXHAUST_HEAT4
양품,47.4,136.0,112.0,167.6,87.5,71.9,28.4,156.0,158.0,48.8,140.5,110.3,189.6,54.7,28.5,32.8,83.3,84.3,443.0,420.0,392.0,370.0,3636.0,4109.0,4450.0,2583.0
양품,46.9,136.0,105.7,164.2,85.4,71.2,27.7,109.0,153.8,47.2,140.5,110.8,189.6,54.5,31.4,35.7,82.0,83.0,446.0,421.0,392.0,371.0,3642.0,4071.0,4464.0,2591.0
양품,46.7,135.2,103.0,166.3,88.7,72.9,27.8,113.0,153.8,45.2,138.0,103.2,182.5,58.5,27.9,33.8,78.6,80.0,443.0,419.0,391.0,370.0,3763.0,4058.0,4434.0,2687.0
명점,48.0,136.0,106.2,166.1,85.7,75.2,29.7,130.0,145.1,49.0,141.0,112.7,191.6,56.3,31.3,36.5,83.8,84.8,444.0,420.0,392.0,371.0,4035.5,4035.5,4448.0,2533.5
양품,48.0,136.0,110.7,167.8,84.1,71.6,29.3,102.0,157.2,48.4,141.0,111.2,190.4,54.6,25.9,36.5,84.0,85.0,442.0,417.0,390.0,369.0,3650.0,4064.0,4446.0,2594.0
양품,47.0,136.0,110.3,166.1,85.2,72.8,28.3,136.0,154.8,48.0,140.8,111.0,190.0,53.5,32.4,36.8,82.8,84.0,443.0,419.0,390.0,369.0,4120.0,3972.0,4435.0,2517.0
양품,46.0,136.0,106.7,167.2,88.3,73.6,29.2,144.0,155.0,46.6,140.0,111.4,190.0,56.0,34.4,35.9,83.0,84.0,444.0,421.0,393.0,372.0,4159.0,4024.0,4460.0,2503.0
양품,47.8,135.9,111.3,167.4,86.1,70.9,27.2,100.0,157.5,46.3,138.3,104.3,184.6,55.2,29.8,34.3,81.0,82.2,442.0,420.0,391.0,371.0,4118.0,3989.0,4475.0,2514.0
양품,47.2,136.0,111.6,167.6,86.2,72.1,28.1,93.0,154.5,45.8,139.0,107.1,187.2,59.9,24.0,32.4,80.4,81.9,446.0,422.0,393.0,373.0,3665.0,4109.0,4452.0,2587.0
양품,47.4,136.0,110.7,166.2,83.8,72.5,28.4,156.0,156.2,48.2,141.0,110.6,189.8,55.5,30.9,34.6,82.9,83.9,444.0,422.0,393.0,373.0,4102.0,4062.0,4466.0,2492.0
