JUDGE,TAT_1BLACK_2RTD,TAT_2AG_2RTD,TAT_2AG_3EXPOSURE,TAT_3BUS_1DEVELOP,TAT_3BUS_2FIRE
양품,210.0,72,168.0,364.0,6840.0
양품,210.0,69,314.0,408.0,6660.0
양품,210.0,69,134.0,384.0,6900.0
양품,220.0,69,134.0,384.0,6873.0
양품,220.0,69,194.0,356.0,6900.0
양품,220.0,69,130.0,384.0,7020.0
양품,220.0,72,150.0,380.0,6867.0
명점,210.0,69,158.0,356.0,7140.0
양품,210.0,69,160.0,348.0,6687.0
양품,210.0,69,154.0,380.0,6807.0
명점,240.0,75,148.0,384.0,6900.0
양품,220.0,72,138.0,380.0,7380.0
양품,210.0,72,200.0,348.0,6687.0
양품,210.0,69,138.0,416.0,7287.0
양품,210.0,74,178.0,416.0,7440.0
양품,210.0,69,148.0,384.0,6933.0
양품,210.0,69,180.0,360.0,7020.0
양품,220.0,72,142.0,384.0,8973.0
양품,220.0,72,172.0,384.0,7500.0
양품,210.0,69,184.0,348.0,7080.0
양품,210.0,69,180.0,360.0,7020.0
양품,220.0,69,134.0,384.0,6873.0
양품,210.0,71,150.0,372.0,6693.0
양품,230.0,69,488.0,356.0,6780.0
양품,230.0,74,152.0,380.0,6747.0
양품,220.0,66,188.0,352.0,6840.0
양품,210.0,75,136.0,384.0,6900.0
양품,220.0,69,152.0,396.0,6960.0
양품,210.0,69,170.0,384.0,7473.0
양품,220.0,72,172.0,348.0,7080.0
양품,210.0,69,146.0,408.0,7287.0
양품,250.0,69,164.0,336.0,6807.0
양품,220.0,72,190.0,384.0,6840.0
양품,220.0,69,138.0,392.0,6780.0
양품,210.0,75,152.0,376.0,7467.0
양품,200.0,69,160.0,336.0,6840.0
양품,210.0,69,178.0,416.0,7137.0
양품,210.0,69,154.0,384.0,6840.0
양품,210.0,69,164.0,396.0,6810.0
양품,210.0,69,134.0,380.0,6900.0
양품,250.0,77,162.0,336.0,6960.0
양품,220.0,69,144.0,340.0,6807.0
양품,220.0,73,154.0,360.0,6657.0
양품,240.0,69,154.0,392.0,6960.0
양품,210.0,72,160.0,376.0,6807.0
양품,250.0,72,156.0,336.0,6960.0
양품,210.0,69,146.0,380.0,7527.0
양품,210.0,72,200.0,348.0,6687.0
양품,220.0,72,160.0,368.0,6780.0
명점,210.0,69,158.0,360.0,7047.0
양품,230.0,63,150.0,340.0,6960.0
양품,220.0,69,142.0,356.0,6687.0
양품,230.0,69,488.0,356.0,6780.0
양품,250.0,77,152.0,336.0,6960.0
양품,220.0,72,148.0,352.0,7440.0
양품,210.0,69,198.0,384.0,7413.0
양품,230.0,74,142.0,384.0,7500.0
양품,210.0,74,178.0,416.0,7440.0
명점,260.0,69,208.0,372.0,6900.0
양품,250.0,74,140.0,416.0,6933.0
양품,220.0,69,158.0,364.0,6867.0
양품,240.0,72,136.0,368.0,6687.0
양품,210.0,72,186.0,332.0,7080.0
양품,220.0,74,180.0,368.0,6933.0
명점,210.0,69,136.0,348.0,7047.0
양품,220.0,75,136.0,372.0,7080.0
양품,220.0,69,184.0,372.0,6693.0
양품,220.0,66,132.0,380.0,6933.0
양품,220.0,72,152.0,380.0,6927.0
양품,210.0,69,148.0,384.0,6900.0
양품,210.0,69,166.0,388.0,6807.0
양품,210.0,74,172.0,348.0,6987.0
양품,210.0,72,162.0,388.0,6960.0
양품,230.0,63,150.0,340.0,6960.0
양품,230.0,69,344.0,332.0,6807.0
양품,210.0,72,144.0,392.0,6960.0
양품,220.0,69,158.0,364.0,6867.0
양품,220.0,75,168.0,360.0,7500.0
